entry_point,image_base,size_of_image,size_code_section,dll_flag,num_sections,entropia_max,entropia_media,num_importaciones,num_dlls_importadas,num_exportaciones,file_size,label
4461,4206983,95225,10452,235,4,5.491112748400683,4.903769369549742,146,7,11,496821,0
7266,4510897,160787,49649,233,6,5.9806770929260065,5.306847739562919,157,8,8,165787,0
6777,4734902,173892,62214,196,3,5.882683184051274,5.291700711248418,90,8,3,362032,0
5893,5157360,97572,48563,35,4,6.231353736987717,4.623481542769351,103,8,4,127471,0
5869,4968390,68626,36876,76,6,6.014431745855753,5.320596620280413,191,6,8,425337,0
7612,5013550,183502,67998,173,6,4.618167707698611,4.041760257706158,177,3,0,126603,0
4448,4765674,72190,35972,255,4,5.389693512189403,3.0090406119623525,111,7,6,183928,0
6952,4310264,139074,59737,208,5,4.74352989773395,3.1564277896153983,86,4,9,256629,0
4921,4604220,85442,42489,107,3,4.824463448878756,3.273718314252038,95,8,9,216795,0
4481,5239770,68903,11860,60,3,6.329860923074991,3.2383836329571505,130,6,16,126555,0
6252,4240620,166462,47136,245,4,5.704739762667684,3.8792559771256587,135,9,19,338444,0
8092,5116212,71557,13462,70,6,6.436476033127764,4.753177017773394,77,7,14,58873,0
7109,4912049,150533,75167,87,5,5.042281341796861,4.976622016501238,59,6,1,492585,0
7213,4492003,153964,52109,246,4,5.343593933384941,4.475533185861561,124,9,8,73439,0
7034,5010084,59034,36042,143,4,5.217788549791054,3.366090436392449,169,6,14,200238,0
7315,5071853,75941,44033,67,3,4.268217643809317,4.869754005370439,72,5,11,468448,0
6198,4239622,169154,53342,1,4,4.591754986316508,3.887004797843997,111,5,9,119786,0
4620,4305892,126093,28212,110,3,5.319090901511205,3.032483371679491,74,9,8,82832,0
7535,4892393,68202,30187,252,3,4.168435762832516,3.7014715513318732,86,8,8,384762,0
5940,5241941,198766,39305,110,5,6.328654823272223,3.8265013853524446,141,4,11,82931,0
6145,4219434,89748,28100,179,3,4.309609204858427,3.685613838045257,92,6,3,454819,0
5614,4892325,50601,63053,64,3,4.494951866042268,5.029675382968964,89,5,10,253034,0
4843,4337460,188624,17267,198,5,5.913303059846592,4.899815993985226,199,7,4,441199,0
7892,4876009,52486,67862,198,4,4.242336354473284,4.738880076031604,75,3,13,160295,0
7297,4847897,133003,34396,155,4,6.2506952490385235,3.3475126962806634,78,7,17,113511,0
6733,4289137,198962,49285,197,3,5.814252426806339,5.019584774265705,189,8,10,483212,0
5744,4908099,136671,21042,148,3,4.171552142772147,4.692939904158309,132,4,7,392978,0
7466,5134911,137695,36975,96,4,5.729617653214133,3.48709421620348,56,4,18,459943,0
6330,5099690,108226,62821,188,5,5.579071355428295,4.6202348257037915,113,7,13,193949,0
5912,4224712,69036,28948,213,4,5.893373581849796,4.208779102509203,134,4,8,232134,0
5941,4452166,135903,19259,215,5,6.070494631223339,4.0983751546405625,87,9,0,309750,0
5026,4446830,184595,46534,54,5,5.795876407932887,3.280307908680972,132,8,0,251929,0
4473,4669615,63665,21374,173,4,5.4654407381774295,4.295760689612914,147,9,4,159198,0
6367,4344273,182057,32032,1,4,4.806158296454444,3.2498295224309093,87,6,4,218801,0
7732,5090151,112256,41532,146,4,5.743184154574823,3.4106334681356665,171,9,14,323940,0
4357,5008804,130430,49486,146,3,6.3924289615769485,3.3313657856869066,117,3,10,67039,0
7611,5041920,74810,54756,93,5,5.468804451322185,5.385270697675018,194,5,19,201174,0
7485,4402136,143268,57365,254,5,5.660862171085634,3.7121617261097253,63,3,10,181781,0
5229,4209584,77352,69100,226,4,5.092820105499502,3.8880108089900194,98,7,18,81644,0
6683,5149177,90978,14625,9,4,5.890302024357686,3.80520151574009,158,6,11,105203,0
4772,4497246,158241,35362,53,4,6.494168480846589,5.245626112945359,184,5,7,273055,0
7201,4882451,57577,10074,53,5,4.4009733101693405,4.4074147783372215,83,5,14,96066,0
6965,5147917,117077,10660,229,6,4.506013198759406,5.297899747333279,197,7,8,205207,0
5548,4232223,139185,24859,132,3,5.348594396660974,3.749812264569739,79,4,5,302387,0
4374,4200043,69804,51870,186,4,5.203438493154145,3.2870866860798724,112,6,9,443229,0
8071,4199997,94213,72615,207,3,5.4289244612667975,4.390546131810437,97,7,13,94444,0
5921,4358223,101525,64147,196,4,4.122685119310683,3.8638424794750437,113,4,7,245589,0
7754,4248471,149543,55240,22,3,5.010691140826122,5.004767083726871,185,4,14,96319,0
6872,5054116,196506,64471,35,4,5.457445655163902,5.198558522279146,159,5,19,242857,0
7284,4829662,175436,22037,101,4,5.462978378262407,4.18143377726768,169,7,8,266231,0
7208,5221957,78464,68788,86,4,5.643334904420934,5.428397560213771,88,4,5,409669,0
4893,5034718,52724,72318,191,4,5.80054007250666,4.382532515861015,192,5,8,249027,0
5586,5204279,57786,16653,39,6,5.6038680083521415,3.677300983465781,115,6,16,470981,0
6007,4444444,139357,42896,95,6,5.975607888473587,4.222438788360686,147,4,3,111935,0
6134,4496083,73439,68102,60,3,5.561901586711479,3.093275731007319,154,6,19,73921,0
4275,5084973,84692,43326,48,4,5.343769156343011,5.010002900657669,149,3,8,52002,0
6334,4451082,177108,68833,44,6,5.515491072219527,3.2535876271360524,140,3,16,210535,0
4727,4254316,181083,75487,50,5,4.252983416883331,3.7718712212575123,122,4,15,136838,0
7140,4895937,175854,43226,144,3,4.6828913518138,4.413291367512358,147,5,15,91212,0
6893,5034175,88049,14164,104,5,5.318499451645328,3.1074378141172474,185,3,18,156151,0
7874,5209531,142952,33803,111,3,6.182468038504268,3.1982922479536207,108,9,3,488744,0
7146,5167168,141615,25062,122,3,5.697628890719983,4.740290894032532,126,5,11,410111,0
5597,4320374,77787,43188,189,5,4.226020196179744,3.1794427326519217,77,8,1,58357,0
8058,5003918,133031,51003,220,5,5.48068737611101,4.192707165618441,103,9,5,461947,0
5778,5081533,128788,42472,134,6,4.554344969092748,3.846739083551876,165,8,0,142364,0
5430,4926336,109424,23684,164,4,5.835041399471807,3.570198519891041,146,8,13,232674,0
7805,5053926,162749,31081,189,6,6.068602131271868,3.4719472446591637,81,3,12,197436,0
5613,5072989,151643,57566,176,4,5.483640681474934,4.908528234331449,131,5,14,232262,0
4408,4662545,129898,11888,34,5,5.478406524379274,5.378855482875706,171,8,3,392325,0
6019,4236405,158865,24986,251,3,4.846478608027035,3.3504493555083292,68,7,6,370616,0
7355,4672658,164466,72463,42,3,5.115625052903273,5.399203047935318,59,3,13,317316,0
4872,4405887,135040,16940,105,6,6.160270884538363,4.4869062586877595,108,6,16,332114,0
5992,4313557,90151,39032,167,6,5.8083008274178916,4.604151013408143,148,8,17,377387,0
4628,4325295,163763,24488,103,6,5.299384149239607,4.774815945356455,96,8,1,132863,0
6907,4925553,157642,17325,62,4,4.920580965620927,4.760297225886452,173,5,8,228051,0
6044,4723343,197512,39591,236,3,4.125949345721386,5.049527770464221,177,4,0,98460,0
5448,4760365,72467,46500,18,6,4.357518503315963,4.208671628369244,129,5,16,366877,0
5025,4975690,112890,22329,62,5,4.4825629738484265,4.333396468786753,106,5,2,246925,0
6408,4769204,188634,15445,254,3,4.933458858146687,3.8095675061585395,56,5,16,336775,0
6839,4854919,127187,19428,186,6,6.360359117690686,3.2631439844577925,173,5,3,304172,0
7947,4284507,191393,55608,22,6,5.262883487146872,4.661600477315548,184,6,0,173134,0
5886,5086779,51870,70219,193,4,4.5871004081480775,3.0840249229656274,116,3,17,112418,0
4754,4664884,55275,22620,248,6,4.264375343653785,3.6890876277084206,127,4,8,487823,0
7506,4357056,169404,32427,25,6,4.84576381150741,3.2355746611152507,163,5,8,181973,0
6675,5047140,103764,34067,105,5,6.039326588877643,3.4768178933067952,154,4,12,99303,0
6964,4964610,128034,35253,119,5,4.9583569835262695,4.596827282243452,70,9,5,187674,0
4494,4249905,114201,27101,33,4,5.931264515056034,4.571191575512295,150,7,13,456088,0
5375,4396722,111194,13868,51,6,6.006762440317197,4.052637282489281,188,9,8,167584,0
7241,4210818,190921,46760,44,6,4.27705192424676,3.225429941223728,162,6,5,494055,0
7504,4478215,64110,35015,47,6,5.521649381566959,4.083434791148521,122,3,7,257342,0
5878,4299141,165832,33958,103,5,6.397740158427776,3.8818621796457338,128,9,0,437817,0
7392,4938693,183448,28536,118,3,5.005345187258885,4.801147882139874,88,6,6,343878,0
7543,4742240,148611,75053,60,4,4.127360222507556,4.447566520497629,149,7,11,69770,0
5683,5222123,109251,52733,74,4,6.308256725644696,4.228914418342497,86,5,2,279225,0
7774,4980132,74002,39308,49,6,6.209165703931207,4.217455205762488,101,6,2,237619,0
5276,4835553,152387,24377,203,5,5.3053536180225045,5.415742218151047,89,6,13,140655,0
5077,4728357,120319,66078,54,5,5.380632800860024,4.890735554258626,100,4,8,297494,0
6891,4251451,72406,72185,232,3,4.5293527569403125,4.242448901150319,105,6,2,96322,0
6704,4267915,103947,12262,137,6,6.048626888861593,4.198056532222444,62,8,14,364234,0
4668,4840550,194232,75076,205,4,5.246500095980316,3.0661977532624087,157,3,15,419841,0
7506,4198895,89807,58959,162,3,4.0846944878563916,5.3562731582995164,116,3,0,91645,0
4914,4238711,76766,16988,68,6,5.707537391122495,3.7979349294183242,192,8,4,265687,0
7392,4424084,152296,62720,153,3,6.376240674506765,3.639847704701859,77,6,7,344806,0
