num_hosts_afectados,tipo_evento_cod,bytes_exfiltrados,duracion_seg,privilegios_elevados,severity
0,5,0,2232,1,0
7,6,191040,2986,0,3
10,2,59854,2308,0,2
5,6,81304,2142,0,1
4,9,72257,1687,0,1
14,2,233328,889,1,3
1,3,0,1017,1,0
8,7,180656,2686,0,2
1,6,0,260,0,0
0,7,0,313,1,0
7,6,56634,1434,1,2
12,7,96762,2790,0,3
6,6,114814,2368,1,2
13,1,180084,2128,0,3
3,7,154318,1927,0,2
4,5,110301,407,0,3
7,1,177076,1201,1,2
0,4,0,295,0,0
12,4,174228,2731,0,3
3,1,93874,2705,0,1
6,9,117092,936,0,2
5,3,71370,1061,1,1
0,3,0,1149,0,0
11,4,293139,3202,0,3
7,8,164838,1763,1,3
9,7,95044,2745,1,2
1,7,27723,1621,0,1
13,3,175107,2516,1,3
4,8,185300,1906,1,2
2,8,53840,1010,1,1
4,5,41363,3155,1,1
1,5,0,2555,1,0
0,1,0,2771,0,0
6,7,62606,3413,0,2
10,9,293712,903,0,3
1,5,0,338,0,0
4,5,66984,2100,1,3
5,5,48189,1180,0,3
4,1,86566,1574,0,1
2,6,187662,852,1,2
1,7,0,1440,1,0
12,9,63435,1421,1,3
8,9,37690,1268,0,2
2,5,27818,2674,0,1
1,9,0,2137,1,0
14,5,236634,1712,0,3
6,6,85406,414,0,1
7,6,56172,2058,1,3
6,9,47578,638,0,2
12,7,273075,1137,1,3
5,2,280758,1499,0,3
2,1,0,517,1,0
1,4,19543,1408,1,1
5,5,16175,968,1,1
5,7,15002,3060,0,1
1,5,0,3096,1,0
4,5,172274,26,1,2
2,9,0,2172,1,0
7,4,67178,2309,0,2
8,5,156322,1366,0,2
7,6,45963,1694,0,3
8,5,169074,2845,0,2
3,9,90269,1366,1,1
13,9,223953,241,1,3
2,5,89133,1347,1,1
1,5,62755,921,1,1
3,6,156456,1383,1,3
4,2,39021,836,0,1
0,4,0,548,0,0
1,2,72754,3547,1,1
8,2,81432,472,0,3
0,1,0,2544,0,0
5,6,15328,2586,1,1
0,1,0,2227,1,0
8,6,54296,3282,0,2
4,4,69791,27,0,1
4,4,47138,1092,0,1
0,7,0,671,1,0
2,5,140876,2081,1,2
8,7,156100,2291,1,2
10,7,132609,3233,1,3
5,1,99790,1373,0,1
0,2,0,856,1,0
12,6,73305,3328,0,3
5,9,21150,2426,0,2
3,2,56432,2755,1,2
0,1,0,1607,1,0
1,9,58549,1616,0,1
4,9,121212,1406,0,3
10,2,159969,2700,0,3
2,4,85431,766,1,1
12,6,184323,3511,1,3
8,2,45684,641,0,3
2,3,14416,1664,0,1
13,4,160152,1139,0,3
3,6,46384,2316,0,1
2,3,0,2453,0,0
8,4,124936,3308,0,2
6,3,156234,2843,0,2
2,7,0,902,1,0
14,2,123225,751,1,3
0,3,0,3192,0,0
11,3,197784,1761,1,3
0,9,0,360,0,0
9,9,81093,2971,1,3
9,5,203217,2337,0,3
7,2,107076,101,1,3
3,7,162242,2820,0,2
3,5,81867,2190,1,1
8,8,132456,2216,0,2
3,4,95202,3115,1,1
8,9,175125,1788,0,3
10,8,24524,1665,1,2
6,3,64557,2226,0,1
8,7,159984,720,1,2
6,3,38214,554,0,2
2,4,0,3039,1,0
1,3,0,783,1,0
0,7,0,1820,1,0
2,3,0,978,0,0
2,6,97879,837,0,1
4,6,177136,2156,0,2
6,7,119870,2890,1,2
5,9,71114,1596,1,1
12,1,119370,508,0,3
2,9,36272,887,1,2
1,1,0,600,0,0
5,5,189912,3179,1,3
6,4,52794,1157,0,2
5,6,59912,1352,0,2
6,7,22698,265,0,2
8,8,152122,1611,0,2
2,4,0,3290,0,0
8,9,168938,1480,0,2
11,3,132597,2347,0,3
6,2,63411,663,0,1
6,4,192944,523,1,2
1,5,0,2636,0,0
5,7,36629,245,0,1
3,8,40473,1619,1,1
9,3,226323,1146,1,3
2,3,0,68,0,0
3,9,85357,1917,1,1
4,4,87769,3470,1,1
5,3,39675,258,1,3
13,9,225294,2938,0,3
2,5,0,1945,0,0
1,9,0,2607,0,0
10,9,101493,356,1,3
0,9,0,3130,1,0
4,6,119202,50,1,3
2,8,14534,3265,1,1
6,9,241347,2371,0,3
4,3,22870,1221,0,1
3,1,43821,35,1,1
4,3,54744,2203,1,2
2,6,0,323,0,0
4,5,87208,2195,0,2
2,1,185376,2785,1,2
7,6,284916,969,0,3
4,2,133059,867,0,3
3,5,110926,806,1,2
4,6,98712,817,0,1
2,6,31135,418,0,1
4,4,95023,906,1,1
4,4,58551,2376,0,3
4,7,30326,1096,1,1
1,7,0,2813,0,0
5,8,13337,2951,0,1
2,4,0,2741,0,0
2,4,0,1946,1,0
2,3,0,1145,0,0
8,5,255822,3348,1,3
5,2,159050,746,0,2
10,4,164252,1677,0,2
4,2,82243,1638,1,1
8,5,123226,2686,1,2
1,8,0,1973,1,0
11,9,279339,2880,0,3
7,5,129558,3309,0,2
13,1,273339,1412,1,3
1,3,0,3150,0,0
2,1,26844,619,0,1
9,7,92384,3298,1,2
3,9,27324,648,1,1
2,5,14584,3062,0,1
1,2,0,1410,1,0
2,1,93097,3472,1,1
2,9,0,473,0,0
5,3,89529,1681,1,1
4,2,136778,3247,1,2
7,2,113984,180,0,2
9,3,198464,961,0,2
3,6,59702,309,0,1
3,9,203454,1163,1,3
0,3,0,1411,0,0
4,7,77203,2231,0,1
2,1,0,935,0,0
3,1,71067,579,0,1
7,1,164622,620,0,3
6,9,27808,3378,1,1
3,6,39147,3432,1,3
4,8,66457,804,0,1
5,1,142942,711,0,2
3,1,79535,204,0,1
3,8,95544,3454,1,1
7,1,164286,2545,1,3
12,2,253869,2741,1,3
2,5,74466,1053,1,1
8,6,104841,2310,0,3
3,3,86060,224,0,1
8,5,29598,2436,0,2
6,7,191700,2090,1,3
5,4,94631,1199,0,1
6,4,138612,2560,0,2
6,1,94335,2330,1,1
2,5,0,1586,1,0
0,8,0,680,0,0
5,6,80255,94,1,1
8,9,203424,3376,1,3
2,2,0,1020,1,0
5,1,51634,1093,1,1
6,5,142868,2455,0,2
2,2,0,926,1,0
6,6,176980,1358,1,2
5,9,20750,2563,1,1
11,4,98610,2147,1,3
8,5,37414,2366,1,2
5,7,146378,26,1,2
0,2,0,1630,1,0
4,9,38542,1716,1,1
5,2,255891,2280,1,3
2,8,0,553,0,0
10,6,69372,582,1,3
2,2,11887,2747,0,1
2,7,60804,2427,1,2
5,2,184642,2922,1,2
5,6,59375,981,1,1
2,9,99534,3591,1,1
10,9,58722,989,0,2
0,8,0,2346,0,0
7,5,49376,592,1,2
0,6,0,3307,1,0
5,3,121396,1203,1,2
3,9,165462,2890,1,2
0,5,0,1199,1,0
13,7,238311,2849,0,3
6,4,66354,1640,0,1
11,7,108789,234,1,3
0,3,0,693,1,0
2,7,0,2463,1,0
3,1,23589,702,1,1
2,1,0,998,1,0
2,4,92209,1954,1,1
8,5,28916,918,1,2
1,7,0,472,0,0
8,4,190526,2251,1,2
0,1,0,2483,1,0
2,3,0,2641,0,0
6,4,133630,3398,1,2
13,5,175323,456,1,3
