user,hora_login,ip_origen,bytes_sent,failed_logins
ana.garcia,7.44,192.168.1.10,13989.71,0
maria.perez,9.19,192.168.1.30,3964.71,0
maria.perez,10.17,10.0.2.4,19344.74,0
carlos.lopez,9.55,10.0.1.5,45059.96,0
ana.garcia,7.98,193.114.227.173,20854.34,0
juan.rodriguez,9.55,192.168.1.40,19434.01,1
maria.perez,7.78,192.168.1.30,17191.67,0
ana.garcia,7.76,192.168.1.10,69543.2,0
carlos.lopez,9.81,10.0.1.6,56101.98,0
juan.rodriguez,10.31,192.168.1.40,1056.99,1
ana.garcia,6.81,10.0.0.2,19887.81,0
carlos.lopez,11.24,10.0.1.6,75390.46,1
carlos.lopez,9.88,192.168.1.20,2222.68,0
carlos.lopez,10.29,192.168.1.20,16603.44,0
juan.rodriguez,9.75,10.0.3.8,106547.14,1
maria.perez,8.54,10.0.2.3,5884.12,0
ana.garcia,7.21,192.168.1.10,46747.97,0
ana.garcia,9.67,10.0.0.1,10029.59,0
carlos.lopez,6.47,10.0.1.6,112593.93,1
ana.garcia,8.43,67.198.67.183,53392.46,0
ana.garcia,8.49,10.0.0.1,9394.95,0
juan.rodriguez,8.11,10.0.3.8,107988.95,0
maria.perez,9.03,10.0.2.4,22723.92,0
juan.rodriguez,9.33,10.0.3.8,48583.85,0
maria.perez,7.22,10.0.2.3,74403.64,0
carlos.lopez,9.95,10.0.1.6,271579.48,0
carlos.lopez,10.26,192.168.1.20,14312.15,1
maria.perez,9.4,10.0.2.4,23615.05,0
carlos.lopez,10.6,10.0.1.5,29047.98,0
carlos.lopez,8.27,10.0.1.5,33432.91,0
juan.rodriguez,10.47,196.248.59.61,22167.91,0
ana.garcia,7.77,192.168.1.10,17709.26,0
carlos.lopez,8.77,192.168.1.20,15135.13,0
juan.rodriguez,7.16,39.227.24.191,47544.32,1
carlos.lopez,9.33,10.0.1.5,33117.87,0
maria.perez,9.27,190.241.62.9,52460.37,0
ana.garcia,8.43,192.168.1.10,20146.36,0
juan.rodriguez,9.96,127.128.111.37,406.47,0
carlos.lopez,9.97,10.0.1.5,34212.13,0
juan.rodriguez,7.68,10.0.3.8,38183.47,0
juan.rodriguez,8.27,10.0.3.7,43303.97,0
carlos.lopez,8.77,243.127.7.152,65020.56,0
maria.perez,9.14,10.0.2.3,16296.4,2
juan.rodriguez,8.11,10.0.3.8,92865.44,1
ana.garcia,8.76,192.168.1.10,105327.77,0
juan.rodriguez,7.68,192.168.1.40,133494.35,0
juan.rodriguez,7.07,192.168.1.40,11035.72,0
juan.rodriguez,8.45,10.0.3.7,24394.0,0
juan.rodriguez,10.17,10.0.3.7,10036.03,0
carlos.lopez,8.64,10.0.1.5,11056.31,0
ana.garcia,10.52,192.168.1.10,8990.65,2
carlos.lopez,8.85,10.0.1.6,37166.74,0
maria.perez,7.33,10.0.2.3,133905.44,0
ana.garcia,10.39,61.249.82.204,69086.31,0
maria.perez,8.84,192.168.1.30,8344.01,1
juan.rodriguez,9.26,10.0.3.8,11585.84,0
ana.garcia,11.59,10.0.0.2,51303.08,0
carlos.lopez,7.42,10.0.1.6,58330.96,1
juan.rodriguez,9.66,10.0.3.7,107242.69,1
juan.rodriguez,7.95,10.0.3.8,51150.56,0
maria.perez,9.11,192.168.1.30,4821.38,0
maria.perez,6.64,10.0.2.3,227026.55,1
carlos.lopez,7.95,199.23.65.184,3052.3,0
maria.perez,8.02,10.0.2.3,62152.49,0
maria.perez,9.11,10.0.2.4,78715.8,1
carlos.lopez,6.63,10.0.1.6,11445.17,1
maria.perez,10.6,192.168.1.30,25799.6,0
juan.rodriguez,8.78,192.168.1.40,155352.57,0
ana.garcia,8.81,10.0.0.1,217394.73,1
maria.perez,9.02,2.183.215.242,16057.62,1
ana.garcia,11.41,10.0.0.1,636.89,0
maria.perez,7.12,192.168.1.30,16700.45,0
maria.perez,9.41,192.168.1.30,21470.19,1
maria.perez,8.01,192.168.1.30,1057.21,1
ana.garcia,8.73,10.0.0.1,10791.13,1
juan.rodriguez,8.82,10.0.3.7,48732.09,1
carlos.lopez,7.98,192.168.1.20,99407.55,1
juan.rodriguez,8.9,192.168.1.40,23423.43,1
ana.garcia,8.11,192.168.1.10,14371.53,0
ana.garcia,11.58,192.168.1.10,4724.52,0
ana.garcia,8.8,10.0.0.1,17756.01,0
juan.rodriguez,7.4,10.0.3.7,43952.03,0
juan.rodriguez,9.54,146.138.77.107,15511.51,0
maria.perez,10.67,10.0.2.4,22431.14,0
maria.perez,12.12,192.168.1.30,19065.63,0
carlos.lopez,9.5,192.168.1.20,54522.96,0
carlos.lopez,5.89,192.168.1.20,13436.0,0
ana.garcia,10.66,10.0.0.2,75215.2,0
maria.perez,9.28,10.0.2.3,15685.41,0
juan.rodriguez,9.01,192.168.1.40,114424.72,2
maria.perez,8.74,10.0.2.3,58952.76,0
carlos.lopez,9.92,192.168.1.20,4781.46,0
juan.rodriguez,9.68,192.168.1.40,31286.31,0
carlos.lopez,6.01,10.0.1.6,20652.94,0
carlos.lopez,6.75,10.0.1.6,21538.1,0
juan.rodriguez,6.66,192.168.1.40,730.89,0
maria.perez,9.52,192.168.1.30,12872.1,1
ana.garcia,7.67,166.36.128.114,32541.59,0
juan.rodriguez,9.39,192.168.1.40,11483.55,0
ana.garcia,9.68,192.168.1.10,47533.35,0
juan.rodriguez,5.41,10.0.3.8,29839.5,1
maria.perez,8.62,10.0.2.4,4853.07,0
maria.perez,9.99,10.0.2.4,65934.19,1
carlos.lopez,8.54,10.0.1.6,97332.68,0
maria.perez,8.23,10.0.2.4,42083.69,1
carlos.lopez,10.35,10.0.1.5,2679.16,1
carlos.lopez,6.83,10.0.1.5,40254.09,0
maria.perez,6.82,10.0.2.4,72840.9,1
maria.perez,7.27,192.168.1.30,172259.71,0
maria.perez,7.24,192.168.1.30,92350.28,2
juan.rodriguez,6.52,192.168.1.40,196445.82,0
juan.rodriguez,9.36,251.62.105.19,4983.47,0
juan.rodriguez,8.05,113.209.61.10,88241.81,0
